direct,low,high,all
en-x,51.50,77.41,57.91
x-en,62.38,83.19,67.53
zh-x,49.94,76.03,56.65
x-zh,60.53,82.20,66.11
de-x,48.86,76.45,55.69
x-de,57.70,79.47,63.09
ar-x,48.95,74.37,55.49
x-ar,58.71,77.69,63.59
ne-x,47.20,65.01,51.78
x-ne,40.69,54.82,44.33
az-x,47.30,63.43,51.45
x-az,42.49,59.91,46.97
ceb-x,40.43,54.83,44.14
x-ceb,44.47,47.19,45.17
